Statement,Link,Date, Source, Label
On qualified immunity,https://www.politifact.com/factchecks/2021/sep/29/terry-mcauliffe/mcauliffe-flip-flops-qualified-immunity/,mber 29^ 2021,Terry McAuliffe,full-flop
A 13-year-old girl "is now in critical care in the hospital here in Halifax because her heart stopped right after she had a vaccine.",https://www.politifact.com/factchecks/2021/sep/28/instagram-posts/canadian-officials-say-theres-no-evidence-13-year-/,mber 28^ 2021,Instagram posts,false
News cameras “shut off” just as Biden was asked if he gave the Taliban a “hit list” of evacuating American and Afghan officials.,https://www.politifact.com/factchecks/2021/sep/28/facebook-posts/no-news-cameras-didnt-shut-when-biden-was-asked-ab/,mber 28^ 2021,Facebook posts,false
Says Biden “didn’t win in Arizona. He lost in Arizona based on the forensic audit.”,https://www.politifact.com/factchecks/2021/sep/28/donald-trump/trump-falsely-describes-arizona-audit-findings/,mber 28^ 2021,Donald Trump,pants-fire
A funeral home used a truck to advertise the message "Don't get vaccinated.",https://www.politifact.com/factchecks/2021/sep/28/instagram-posts/ad-agency-not-funeral-home-was-behind-vaccination-/,mber 28^ 2021,Instagram posts,barely-true
"Breaking news — US Supreme Court has canceled universal vaccination in the United States.",https://www.politifact.com/factchecks/2021/sep/28/instagram-posts/us-supreme-court-hasnt-ruled-against-covid-19-vacc/,mber 28^ 2021,Instagram posts,false
"Maricopa County official purged machine records before audit started.",https://www.politifact.com/factchecks/2021/sep/28/instagram-posts/no-evidence-claim-maricopa-county-purged-machine-r/,mber 28^ 2021,Instagram posts,false
Insurance companies and Washington bureaucrats “are working together to swipe $500 billion from Medicare to pay for Pelosi and Schumer’s out-of-control spending spree.”,https://www.politifact.com/factchecks/2021/sep/28/60-plus-association/ads-charge-drug-price-haggling-swipe-500-billion/,mber 28^ 2021,60 Plus Association,false
“The yearly cost of religious tax exemptions: $71 billion. If the church paid taxes^ everyone would only have to pay 3% taxes.”,https://www.politifact.com/factchecks/2021/sep/28/viral-image/taxing-churches-would-not-add-enough-revenue-lower/,mber 28^ 2021,Viral image,false
Children and teen suicide attempts “skyrocketed 250% in 2020” according to “one study done by a hospital.”,https://www.politifact.com/factchecks/2021/sep/28/madison-cawthorn/cawthorn-misrepresents-data-youth-suicides/,mber 27^ 2021,Madison Cawthorn,barely-true
“The NAACP wants” the Confederate Memorial Carving “sandblasted off Stone Mountain.”,https://www.politifact.com/factchecks/2021/sep/27/viral-image/local-naacp-wants-confederate-carving-stone-mounta/,mber 27^ 2021,Viral image,half-true
